Name,出處
同理型提問主軸在於認識他人，如果私事或敏感話題不涉及他人特質，那就要小心詢問或不要問,精準提問的力量
搭橋型提問，是為了讓人卸下防備，通常從閒聊切入，不斷擴展閒聊，直到找到機會，是相對需要策略的提問方式,精準提問的力量
在搭橋式提問中，經常使用系統一的內容，加上微認可去強化與對方的關係，讓對方放下防備,精準提問的力量
衝突型提問要特別小心，因為這需要考慮接下來與對方的關係，以及是否掌握正確的資訊,精準提問的力量
當要使用衝突行提問時，要試圖限縮對方內容，因此經常使用是非問句，又或是打斷對方，拉回主題，總之不能讓對方逃，留下對方的紀錄,精準提問的力量
科學型問題能夠辨別我們知道及自以為知道的知識，透過觀察現象、提出解釋、及數據驗證，審慎的確認知識，而在確認的過程，很可能會引出一個又一個的為什麼,精準提問的力量
通常我們很難在商業或政治活動中，直接表明科學問題的精神，因為人往往希望聽到確定的答案，而不是可能會錯的答案,精準提問的力量
利用提問去詢問人的故事、人生意義，我覺得可以幫助人從中找到新的追求,精準提問的力量
搭橋對話通常從無關緊要的鼓勵開始，經由鼓勵對方多說一點以及微認同來展現善意，藉由回聲以及確認理解來更貼近事實,精準提問的力量
衝突提問要做好對方否認的準備，同時也要確認自己掌握了證據再出擊，場面可能像是律師詰問證人那樣,精準提問的力量
尋求回饋的時候，請別人給建議會讓他人更有頭緒，設計問題可以更具體些，也可以針對自己在意的點設計，內容上著重在技術而非人，重點是要獲得改進的機會,逆向工程
開頭問人家的字詞使用會極度影響人，當我們試著問「你對xx保持開放態度嗎」一來讓對方保持開放心態，同時也讓人不會感受到責任感,好問:化異見為助力的關鍵說服力
在說服方面，「為什麼」是危險的問題，充斥陷阱與可能性,好問:化異見為助力的關鍵說服力
羞恥的感覺也能使在團體中的人們避免破壞規則而做出正確的行為,多巴胺國度
不顧你的反對或是pua都是危險的訊號,影響力是你的超能力
精簡說話的另一種架構：結論、理由、論證,大人學破局
"故事, 痛點, 創新都在現場",精準提問:找到問題解方、培養創意思維、發揮專業
傾聽後還有一種相反的攻擊手法，就是重新包裝對方的話，而且最好是用肯定對方的方式重新包裝，例如「你肯定想過」、「你肯定不是這樣想」...,好問
當遇到意外時用故事救場，步驟是說一則故事、偷換概念、真正的事,https://www.books.com.tw/products/0010816896
"執行規劃的時候最怕遇到難以預測的狀況, 多加一半執行時間會幫助處理這樣的問題",思考101
承認錯誤是難的，但合理化自己行為是容易的，所以需要透過更多時間來達成,好問
意象練習可以採用不同視角、想像過程、假設難關並克服、充分想像現場的感官感受，聚焦在正面結果容易失去耐心，練習過程不超過20分鐘就會很有效果了,逆向工程
注意力容易分散的人，較有可能短視近利,誰偷走了你的專注力?
當專注的事情被打斷，通常需要耗費一段時間重新回到任務上,誰偷走了你的專注力?
預先承諾比使用意志力更能夠讓我們達成目標,誰偷走了你的專注力?
人聚焦在單一主題的時間逐漸減少，最主要的機制源自於一個系統的資訊越來越多，使我們深入理解的時間越來越少,誰偷走了你的專注力?
人的理解能力與閱讀速度有關，讀得太快，理解就會越少,誰偷走了你的專注力?
切換專注力會遇到幾個麻煩：花費更多時間、更容易犯錯(無法總是回溯上一個注意力的儲存點)、創意下降,誰偷走了你的專注力?
分心帶來的恍惚程度甚至可以媲美使用藥物,誰偷走了你的專注力?
我們需要降低干擾，以及學會放慢節奏，來增進注意力,誰偷走了你的專注力?
當人已經習慣生活被干擾，剛開始要戒掉，也會出現戒斷症狀－自我干擾,誰偷走了你的專注力?
要嘛碎片化、要嘛心流，如果我們要奪回專注力而不轉往心流，很容易就會又進入分心狀態,誰偷走了你的專注力?
心流達成的條件是，找出對自己有意義且要盡全力才能達成的目標。,誰偷走了你的專注力?
專注在故事更容易習得同理心，因為這是種深刻感受他人觀點的方式，例如看小說、電影及長影集,誰偷走了你的專注力?
以閱讀為例，我們不是只有專注，還會有一些飄蕩的狀態，這會幫助我們建立與閱讀內容的連結，此時腦袋可能在隨意連結中,誰偷走了你的專注力?
神遊是兩面刃，當我們在低壓時能連結到美好體驗；高壓時則會連結出焦慮,誰偷走了你的專注力?
安全感是找回專注力的重點之一，因為當處於充滿壓力的危險之中，專注力會優先找尋危險的線索,誰偷走了你的專注力?
隨著工作量的提升，其壓力帶來的危險，可能是造成當代人專注力下降的成因之一,誰偷走了你的專注力?
越有意義的內容，人更容易投入並學習,誰偷走了你的專注力?
世界本不完美，應該要清楚自己對事情的容忍度為何，來決定自己的戰場,佛畏系統
實際狀況無關就要，情緒的開關在於期待與現實的落差,一如既往
期望管理做得越好，越容易感到幸福,一如既往
過度的壓力會阻礙創新，但是恢復的適當的壓力，就會有一波創新出現,一如既往
困境永遠是人進步的來源,一如既往
成功是靠複利慢慢累積，而失敗往往是瞬間,一如既往
複利事件的核心，來自微小的事情，會發展成龐大且不符合直覺的樣子,一如既往
要做出偉大的成就需要專心致志，不要浪費時間在建立形象上,文章: How to Do Great Work
運氣有四種：隨機性、擴大生活圈而發現、準備好而接到、自己的特殊性被需要,佛畏系統
才華相同但有些人會比較出眾，無論是有意無意，都是有一些推力造成這個結果,推力
歷史的教訓依照時間與情境都會產生變化，我們需要學習找到方法的方法,佛畏系統
歷史並非一直重複，可能因為世界總是有結構性的改變、人的確能記取教訓、以及歷史時間是連鎖反應，缺一就不會重複,佛畏系統
歷史總是獎勵創造的人，依循一些不變的原則，不斷試誤，找出自己的方法,佛畏系統
想要實行的計畫在有一定的程度下就可以進行下一步，不需要一次到位，除了激發更多動機外，還能一邊蒐集資訊，讓自己維持在正確的軌道上。,逆向工程
計畫是PDCA中最不重要的，實際與計畫中的差異，如何修正才是重點,數值化之鬼
PDCA中的D可以協助訂定KPI，並不斷優化其中變數,數值化之鬼
進行反思或是意象訓練會增加練習效果,逆向工程
接納負面回饋的方法：馬上修正、拉開與作品的心理距離、重新詮釋負面,逆向工程
有規模的公司，其各個展現出來的面向，都經過科學、統計學等等的檢驗,Google、臉書、微軟專家教你的66堂科技趨勢必修
數據追蹤要先訂出目標指標，再分組看看影響的因素,成長駭客攻略
即使運用逆向工程找到了成功的密碼，要得到他人的高度也不是一蹴可及的,逆向工程
將逆向工程找出來的要素，再拆得更細，做成多個指標來追蹤，以提升自己的能力。,逆向工程
利用數值了解自己的不足,數值化之鬼
數值化是為了減少溝通成本,數值化之鬼
人的自我成長是為了增加期望值，減少變異數帶來的傷害，因此當我們能控制越多變數，越有機會創造成功的機會,傾聽的力量
分析出幾個影響目標的可能變數，一個一個去實驗調整，便能夠找到可用的變數,數值化之鬼
從假說進入到變數，任何資訊提供的東西先當作假說，唯有檢驗成功才是屬於自己的變數,數值化之鬼
"遇到可幫助成長的指標, 質疑並求證，篩選來源",數值化之鬼
透過回饋分析，我們能找出自己的長處，包含自己是聆聽者或是閱讀者、如何學習等等,哈佛商業評論最有影響力的30篇文章
適性測驗可以協助我們去設計回饋分析的題目,哈佛商業評論最有影響力的30篇文章
從長處精進的效益比缺點進階到普通要高上許多，因此找到長處是比較優先的事,哈佛商業評論最有影響力的30篇文章
逆向工程是一個良好的學習模式，藉由拆解一個優秀的點子，增加創意並創造技能組合，並且持續強化學習技巧掌握多變的時代,逆向工程
解決問題的insight在於對對方有突破性及針對性,BCG問題解決力:一生受用的策略顧問思考法
解決問題的方法 = 底層邏輯 + 環境變因，如果底層邏輯的適用性高，環境變因少且可控，那這個方法論就會很可靠。,誰偷走了你的專注力?
我們運用戰場來形容生活的事物，造就了恐懼，這樣的語言使我們想著要擊敗其他人,誰偷走了你的專注力?
當腦中只有部分人的利益之時，稀缺心態就會出現,誰偷走了你的專注力?
遠離恐懼，要追求的是自己的喜悅，而非價值,誰偷走了你的專注力?
失敗永遠是成功的一部分，它帶領我們擴展自我,誰偷走了你的專注力?
以恐懼作為驅動力的後果，我們會更容易分心，無法發揮所有的潛力,誰偷走了你的專注力?
在關鍵時刻要用邏輯來處理焦慮，然而生活並非總是關鍵時刻，我們本就該與情緒好好相處,誰偷走了你的專注力?
有毒的環境，經常利用恐懼與羞恥進行迫害,誰偷走了你的專注力?
在有毒的環境，經常會感覺到負面情緒，退縮、不願接受挑戰、只守自己本分等等,誰偷走了你的專注力?
當處在一個有毒的環境，並不是只有勇敢面對，當無力反抗時，逃離也是好選項,誰偷走了你的專注力?
當人處於恐懼時，會讓控制加劇，導致自身越來越緊繃,誰偷走了你的專注力?
辨識外來的恐懼，以及誠實面對自己，是解開恐懼枷鎖的關鍵,誰偷走了你的專注力?
處理恐懼，要先辨識恐懼出現，或是無用的恐懼，然後處理它,誰偷走了你的專注力?
恐懼時，焦點會讓我們只聚焦在已知的與過去的事，讓我們失去長遠思考的能力，在恐懼中，我們只會想快點解決眼前的事,誰偷走了你的專注力?
正面思考解決不了恐懼，我們終究要知道自己怕什麼，再來解決,誰偷走了你的專注力?
恐懼處理是能夠經由練習而熟練，方法有三類：處理、分散注意力、合理化,誰偷走了你的專注力?
坊間常見的放鬆方法以及正面表達都對處理恐懼有幫助，最重要的是盡快處理,誰偷走了你的專注力?
「不夠好」的恐懼以以下幾種方式展示：怎麼做都不夠、不嘗試、人際關系疏遠,誰偷走了你的專注力?
利用圖像化恐懼，能夠協助我們看清楚自己恐懼的面貌，這比一般單詞更能夠幫助自己處理恐懼,誰偷走了你的專注力?
看清楚恐懼之後，就能夠開始面對恐懼，了解恐懼與自己的互動關係,誰偷走了你的專注力?
最後當摸清恐懼的全貌後，我們需要重新敘述這個恐懼，此階段成為替代,誰偷走了你的專注力?
如果想遮掩的東西，公諸於世會感到羞恥，那就會是需要處理的恐懼,誰偷走了你的專注力?
臣服有三種方法，都對減緩恐懼有幫助：訴諸無形力量、放下、接受情緒,誰偷走了你的專注力?
建立親密關係是處理恐懼的好方法之一，藉由與他人分享，能夠讓彼此更加靠近，且關係長久,誰偷走了你的專注力?
資訊的基本定義是連結，能不能反映真相並不是最重要的,連結
某種類型的資訊是透過反映事實來連接眾人，例如科學,連結
故事比真相容易散播有兩項優勢：簡單，以及比較不痛苦,連結
以馬克思主義的觀點來看，故事被當作掩蓋利益的手段，這等於是忽視了許多觀點,連結
資訊創造了第三種主體，存在於主觀與客觀之間，其中最大的特色是：當被討論時，這個主題才存在,連結
世上重大的故事正是因為是眾人情感的投射，才會如此強大,連結
在批判思考的階段，辨識問題並了解問題是不是真的存在,BCG問題解決力:一生受用的策略顧問思考法
