卡片,出處
社會科學的第一性原則，應聚焦在高機率必定會失敗規則，與自然科學不同，無法用“正確”原則推導結果,Vincent
核心價值觀也可以做為任務的篩選器，可以依循它來列出自己不應繼續做下去的事情，來釋放更多資源在自己身上,零偏誤決斷法
釐清核心價值觀是重要的，當面臨極端議題時，才能依此得到指引，而不是花過多的時間煩惱,零偏誤決斷法
在決策中感到猶豫，必定是產生了與核心價值觀衝突的事情，此刻釐清自身對於該事的價值觀是重要的,零偏誤決斷法
指示 AI 做影像，有幾個訣竅能夠提升品質，例如構圖荷蘭角能增加緊張感、利用參考點讓 Ai 知道方位等等，都是借用了該領域專業的思維,2025 生成式 AI 年會
人都有對預測能力高估的傾向，試水溫的做法是個很好的替代方案，比起幻想，快速得到資訊會更能夠做出實際的決策,黑天鵝效應
槓桿理論為，將自己盡量暴露在正面黑天鵝的事件中，減少負面黑天鵝的情境，或是降低傷害,黑天鵝效應
面對黑天鵝時，我們的排序是傷害大小，而非可信度,黑天鵝效應
在識別消防栓的實驗中，證實人越頻繁得到細節，就越難推論出正確的結果，因為雜訊太多，人會變成在一個有偏差的模組推論事情,黑天鵝效應
處理不確定性的事情，最重要的是不要專注,黑天鵝效應
當我們面對沉默證據時，對於因果的信任，就應該注意一下,黑天鵝效應
在討論問題時，如果碰到障礙，除了強調對方的自主權，貶低問題本身，或是降低自己的資格，都有機會讓對方更不抗拒，進入六問題中,"6個問題,竟能說服各種人"
在六問題中，必須時刻提醒對方，答案跟他自己有關，而不是跟提問者有關，以挖掘出與對方自身相關的答案,"6個問題,竟能說服各種人"
面對難以改變的人，必須先尊重對方的自主權，看看能不能帶到六問題的步驟一,"6個問題,竟能說服各種人"
改變行為可能不只是意願問題，可能還會有技能或是時機的障礙，必須要先搞清楚,"6個問題,竟能說服各種人"
六問題的步驟六，讓對方回答下一步的作為，此刻不應急躁，所有的改變的是微小且緩慢的,"6個問題,竟能說服各種人"
六問題的步驟五，讓對方說明改變的結果對自己多重要，理由越私人則越能夠有動力，這必須利用許多為什麼去挖掘，此刻也需要更多的反映，需注意必須盡量用正面且動力的詞彙應答,"6個問題,竟能說服各種人"
六問題的步驟四，運用了現在感受的技巧，現在的感覺會比未來更強烈,"6個問題,竟能說服各種人"
在六問題的步驟三中，如果對方給出最低的分數，仍可以詢問對方，要怎麼作才有機會提升分數呢,"6個問題,竟能說服各種人"
在六問題的步驟二，對方回答的分數並不重要，僅是一種自我覺察而已,"6個問題,竟能說服各種人"
在六個問題的步驟一，引發對方思考好處時，應著重正面的為什麼，同時可以將焦點聚焦在對方正成功或曾成功的案例，或是反映對方當前的狀況與動力,"6個問題,竟能說服各種人"
沉默謬誤是人忽略黑天鵝的謬誤之一，我們傾向看不見不在檯面上的東西,黑天鵝效應
我們傾向放大已知黑天鵝的機率，低估未知黑天鵝的發生,黑天鵝效應
我們的記憶是一個動態過程，在每次的回想中，會將其修改變得更有敘事及因果性,黑天鵝效應
我們可以靠證據推翻事情，卻不能靠證據證明事情,黑天鵝效應
建立韌性的六步驟：接納情緒＞與情緒共存＞建立事件正面意義＞尋求支持＞利用小事重新建立控制感＞接納自己的不完美,FB 我的珍藏
在平庸世界中，不可能出現黑天鵝事件，因為任何一個問題不用造成整體的破壞，但如果是極端世界，就有可能因為一個事件毀掉整體，而世界越來越多事情走入極端狀態,黑天鵝效應
重複性越高的工作，越容易看出高下，越低則容易因運氣的眷顧，而獲得不合理的看待,隨機騙局
事情通常是非線性的，一分耕耘未必帶來一分收穫，通常需要到一個臨界點，才會突然得到超乎預期的收穫,隨機騙局
在基數夠多的狀況下，可以忽略個體的績效能力，就算他們的能力都是低下，最終還是會養出能賺錢的人，但這可能純粹是出自於基數夠多而非能力，書中顯示，如果未有辨別能力，就可能被吹噓的績效所騙,隨機騙局
不對稱的機率與結果中，期望值才是最重要的,隨機騙局
時間越長，越能排除雜訊；時間越短，充斥越多雜訊,隨機騙局
人很少回顧歷史，有可能是被設計成關注未來的生物，我們是為了保障未來生存而思考的,隨機騙局
歷史夠長終究會逐漸展現出類似的結果,隨機騙局
遇到同仁不知為何而戰，請肯定其貢獻，再邀請一同做些甚麼,隨機騙局
這世上有太多利用情緒在操弄人的手法，例如新聞，如若能夠盡量避開，就能免於情緒用事,隨機騙局
風險規避通常是由情緒負責的，人會依據情緒去找跟風險有關的線索，而非理性，理性只負責安上邏輯,隨機騙局
我們小看機率可能源自於，出狀況的機會太小，以至於我們忽視風險,隨機騙局
隨機性的結果怎麼來就怎麼去，如果路徑重複無限次，究竟結果會發散還是收斂,隨機騙局
根據林迪效應，至今存活且仍有熱度的東西，顯示已通過時間的考驗，可能可以再活很久，就值得接觸看看,隨機騙局
林迪效應用來說明無壽命限制的需求或事物，其預期壽命會等於其存活的壽命，用來評估機會或風險會是個不錯的工具,隨機騙局
人在做出判斷的時候，錨點或是動用的思考系統是不一定的，所以有些專家的推論會錯的離譜，就是運用錯誤的思考系統，讓他們落入陷阱,隨機騙局
我們在生活中應多關注稀有事件，所謂的偏態事件容易讓我們忽視風險，它會讓我們誤以為事情永遠是那樣發展,隨機騙局
如果目標是與累積有關，期望值應看得比機率更重要,隨機騙局
提問列表也是一種從他人經驗，來找到更多靈感的方法,零偏誤決斷法
決策能找曾經遇過同樣問題的人，無論是來自外部或內部，甚至可以展開類比，從小範圍類比到大範圍，例如考慮材質時，先考慮同產業的材質，再考慮不同產業的材質等等，會找到意想不到的靈感,零偏誤決斷法
決策方向不僅只有減少或增加的面向，兩者兼具，能夠引發趨吉與避凶的兩種心態,零偏誤決斷法
分頭進行多個選項，品質會比單一選項不斷修改來得好，縱使過多選擇會帶來障礙，在決策中通常選項不會多到當機,零偏誤決斷法
時間維度越短的資訊，雜訊就容易越多，過多的雜訊對人的整體狀況也不太好,隨機騙局
決策過程容易在各個步驟遇到一些問題，如下：狹隘的選項、確認偏誤、短暫的情緒、過度自信,零偏誤決斷法
人在處理風險或危機，都是使用非理性腦，因此容易被情緒所操弄，導致接受扭曲的事實,零偏誤決斷法
現實猶如俄羅斯輪盤，但更慘的是我們極少意識到槍管，導致我們忽視風險,隨機騙局
達成共識的敘事方法是：重複、明確解釋、及容易被記住,重點
溝通的金字塔原則，更精緻的看法可以是：最勾人的重點（經常是一個問題）、概述重點、細節、號召,重點
有效溝通的第一步是定義重點，重點必須是具體的方向與目標,重點
承認每個人心中假設的認知不同，擁抱隨時需要解釋想法,重點
容易讓大腦捕捉的內容是：符合需求、簡要、對齊的內容,重點
溝通的設計重點在於：讓對方好理解、說出對方渴望、幫對方畫好重點,重點
想驅動他人，一時沒進展可以試著再強化對方的自主性,"6個問題,竟能說服各種人"
要驅動別人，提問應該著重在正向內容，讓人想到抗拒內容更容易產生抗拒,"6個問題,竟能說服各種人"
增強對方的戒心有幾個方法，像是告訴對方應該怎麼做、把話塞到對方口中、威脅等等,"6個問題,竟能說服各種人"
激勵別人行動的第一步，就是向對方挖掘為什麼要做出某種行動，當人聽到自己講出理由，會更有意願行動,"6個問題,竟能說服各種人"
在對話或會議中，一旦話題發散了，最好用的一句話就是重申對話的目的,"6個問題,竟能說服各種人"
比起知不知道事情，能夠明確指出下一步才是最重要的，例如上司問了一個問題，而自己不知道，誠實以對並告知下一步，就可以讓對方安心,"6個問題,竟能說服各種人"
在職場上，由於時間緊迫的關係，金字塔原理往往是最佳的，很多時候對方甚至只需要聽到第一、二層就夠了，取決於信任度,"6個問題,竟能說服各種人"
無論是演講、開會，只要涉及討論溝通，事前的資料收集與對齊，都是在後續對話中，能夠打中對方痛點與吸引對方的關鍵,"6個問題,竟能說服各種人"
在對話或會議中，用提問是一種帶節奏的好方法，會讓人覺得事情在自己的控制下,"6個問題,竟能說服各種人"
問問題往往是一個序列的演出，得到對方的信任、探索模型、問出最重要的問題，最後是重新對齊以確認理解,vincent
人類之所以有辦法控制超量的群體（約略150人），是因為對故事的信念所連結而造成的力量,人類大歷史
受長輩請教，如果能抓準問題反向請教，有來有往對於關係的維護會更好,Yuki
在分享自己的經驗的時候，看對方的肢體動作了解對方是否對目前的話題有興趣，進階到對方開始問問題時，就是挖掘痛點的時候,Dr. Harvey
在建立好感以後，累積信任度的方法就是分享自己的經驗，讓對方清楚自己解決過什麼問題,Dr. Harvey
small talk最主要的是雙方當下的感覺，而不是內容,Dr. Harvey
站側面或是拉開距離，都是讓氣氛較為舒緩的方法,Youtube FBI
焦躁時經常會遮掩身體的弱點，例如脖子附近,Youtube FBI
自信姿勢中，大拇指是很重要的，藏起來往往是一種不自信的舉動,Youtube FBI
權勢姿勢通常會將身體擴大，很多時候都是利用打開手肘製造出空間,Youtube FBI
Small talk 主要應是塑造好的感受，而非內容，所有的技巧與資訊應服務感受,Dr. Harvey
執行目標擬定策略時，應該讓組織跟隨策略，先確認策略是可行的，再說服人參與,Gipi
一個目標通常會有某些做了一定會有用的方法，這樣的基本功應該在執行目標時先把握,Gipi
高端品牌的靈魂可能在於顧客體驗，而非通路數量,HBR
對民主來說，更重要的是自我修正機制，這也往往是主要受到破壞的部分,連結
獨裁不等於極權，極權意旨無所不至的介入人民，這是一種技術問題,連結
獨裁與民主是一種資訊流動的信念,連結
強大的自我修正機制來自於承認犯錯是無可厚非的，但其懷疑的力量卻可能導致秩序的崩壞，通常擁有自我修正機制的機構，會將管理秩序的功能外包出去，例如犯罪會訴諸法院，而非科學機構,連結
讓資訊更靠近真相的一個相對可靠的方式是自我修正機制，雖然難具即時性，但以目前的歷史看來，真相雖遲但到,連結
燒女巫證明了就算資訊更多，也可能讓人們離真相越來越遠,連結
主體間的現實被分為故事與文件，後者為官僚制度的起點,連結
